,Premise,Hypothesis,Label,Split,Folder
0,He heaped him with work.,He rewarded him with relaxation at his job.,contradiction,train,He heaped him with work.
1,His stomach felt like a well.,His stomach felt full.,contradiction,train,His stomach felt like a well.
2,The government bowed to the military pressure.,"The government has always been stiff, but the most notable stiffness is during military pressure.",contradiction,train,The government bowed to the military pressure.
3,Ramesh's parents felt that he was a bright boy.,Ramesh's parents surely felt that he was an intelligent boy.,entailment,train,Ramesh's parents felt that he was a bright boy.
4,Am I supposed to gobble up that story?,I don't know how you will manage to convince me that story because it sounds like a ludicrous tale.,entailment,test,Am I supposed to gobble up that story?
5,Time flies,it is time for flies,neutral,test,Time flies
6,Time flies,time is slow,contradiction,test,Time flies
7,Time flies,time passes very fast,entailment,test,Time flies
8,Time flies,time seems to pass very quickly,entailment,test,Time flies
9,He was like a lamb in a field of wolves.,He was tense,entailment,train,He was like a lamb in a field of wolves.
10,"No, she declared, now looking like a peacock.",She looked proud as she said no.,entailment,train,"No, she declared, now looking like a peacock."
11,These events could tilt the balance of power.,The outcome of this event would not affect the balance of power.,contradiction,train,These events could tilt the balance of power.
12,I attacked the problem as soon as i got out of bed.,I got out of bed and forgot about the problem..,contradiction,dev,I attacked the problem as soon as i got out of bed.
13,He breathed new life into the dilapidated house.,He took away the air from the dilapidated house.,contradiction,train,He breathed new life into the dilapidated house.
14,Out-of-control spending was hurting the economy.,There was an economic recess. ,entailment,train,Out-of-control spending was hurting the economy.
15,Out-of-control spending was hurting the economy.,The economy has been growing out of control ,contradiction,train,Out-of-control spending was hurting the economy.
16,Out-of-control spending was hurting the economy.,There is a good feeling about the economy. ,neutral,train,Out-of-control spending was hurting the economy.
17,I've reached my boiling point.,I still have a lot of patience.,contradiction,train,I've reached my boiling point.
18,"In the fading sunlight, he looked like a secret agent for satan.",He looked dark and menacing in the fading sunlight.,entailment,train,"In the fading sunlight, he looked like a secret agent for satan."
19,The approaching car's headlights glared at me.,The approaching car's headlights were turned off.,contradiction,train,The approaching car's headlights glared at me.
20,These events could shape the balance of power.,The events might not effect the balance of power.,contradiction,train,These events could shape the balance of power.
21,My heart sings when he walks in the room.,My heart beats when he enters the room.,entailment,train,My heart sings when he walks in the room.
22,My alarm roared at me this morning.,My  alarm woke me up at the morning.,entailment,dev,My alarm roared at me this morning.
23,My eyes teared up and I could feel my face turning into a bruised tomato.,I could feel my face turning red and my eyes tearing up.,entailment,train,My eyes teared up and I could feel my face turning into a bruised tomato.
24,Her face was calm but she seemed like a coiled spring .,"Even though her face was calm, she seemed relaxed.",contradiction,train,Her face was calm but she seemed like a coiled spring .
25,Her heart fluttered in her ribs like a butterflys wings .,Her heart was fluttering weakly and rapidly inside her ribs.,entailment,train,Her heart fluttered in her ribs like a butterflys wings .
26,The hidden sun unfurls with light.,The hidden sun will once again emerge from the dark.,entailment,train,The hidden sun unfurls with light.
27,The rich are getting richer while the middle class slides into poverty.,Income inequality is on the rise. ,entailment,train,The rich are getting richer while the middle class slides into poverty.
28,The rich are getting richer while the middle class slides into poverty.,Income inequality stays constant.,contradiction,train,The rich are getting richer while the middle class slides into poverty.
29,The rich are getting richer while the middle class slides into poverty., Capitalism is the root of all problems,neutral,train,The rich are getting richer while the middle class slides into poverty.
30,The guy was a floating whale in the small swimming pool.,The guy looked fat and large while floating in the small swimming pool.,entailment,train,The guy was a floating whale in the small swimming pool.
31,The guy was a floating whale in the small swimming pool.,The guy looked large and white in the small swimming pool.,entailment,train,The guy was a floating whale in the small swimming pool.
32,The guy was a floating whale in the small swimming pool.,The guy looked short and agile in the small swimming pool.,contradiction,train,The guy was a floating whale in the small swimming pool.
33,The guy was a floating whale in the small swimming pool.,The guy was eating whale meat in the small swimming pool.,neutral,train,The guy was a floating whale in the small swimming pool.
34,Ok so some girls know what we have in our filthy minds.,There exist women who know how men really think,entailment,train,Ok so some girls know what we have in our filthy minds.
35,Ok so some girls know what we have in our filthy minds.,All men always think about women in a very respectful ways. ,contradiction,train,Ok so some girls know what we have in our filthy minds.
36,Ok so some girls know what we have in our filthy minds.,We need to take a shower. ,neutral,train,Ok so some girls know what we have in our filthy minds.
37,I knew there was pain but this was like a sharp dagger.,"I knew pain existed, and this was mild.",contradiction,train,I knew there was pain but this was like a sharp dagger.
38,Hillary brushed aside the accusations.,Hillary confronted the accusations head on.,contradiction,test,Hillary brushed aside the accusations.
39,"Eve waved and got into the big, black hearse, and miranda waved back like a kid at her first parade","Eve got into the big, black hearse and Miranda waved back apathetically.",contradiction,train,"Eve waved and got into the big, black hearse, and miranda waved back like a kid at her first parade"
40,"There was a phone in his pocket, a secure digital unit like a cigarette lighter.","He had a bulky phone in his pocket, a secure digital unit.",contradiction,train,"There was a phone in his pocket, a secure digital unit like a cigarette lighter."
41,back on jennifer or are you going out with michael ?,"you never stopped going out with Jennifer, right?",contradiction,test,back on jennifer or are you going out with michael ?
42,We have learned that the ending of the Earth is like death and taxes.,We have come to the realization that the end of the world is preventable.,contradiction,train,We have learned that the ending of the Earth is like death and taxes.
43,"I have absolutely no control over my life, and yet I'm like a fish in deep water.","I have no control over my life, I'm still unhappy.",contradiction,train,"I have absolutely no control over my life, and yet I'm like a fish in deep water."
44,She was dolled up yellow that day.,She had been wearing a variety of shabby shaded but yellow all day long.,contradiction,train,She was dolled up yellow that day.
45,The snow swaddled the earth like a mother would her infant child.,The snow exposed the earth like a mother would her infant child.,contradiction,test,The snow swaddled the earth like a mother would her infant child.
46,This summer and part of the fall will be a mad sprint to finish up various projects.,I will have to work very long hours. ,entailment,train,This summer and part of the fall will be a mad sprint to finish up various projects.
47,This summer and part of the fall will be a mad sprint to finish up various projects.,I will only have to work very little through the summer and part of the fall. ,contradiction,train,This summer and part of the fall will be a mad sprint to finish up various projects.
48,This summer and part of the fall will be a mad sprint to finish up various projects.,I really like my work. ,neutral,train,This summer and part of the fall will be a mad sprint to finish up various projects.
49,The path climbed all the way to the top of the hill.,The path descended all the way from the top of the hill.,contradiction,train,The path climbed all the way to the top of the hill.
50,"A few weeks later, a letter arrives, explaining that you are like a daisy in a field of sunflowers.","A few weeks later, a letter arrives, explaining that you are not special.",contradiction,test,"A few weeks later, a letter arrives, explaining that you are like a daisy in a field of sunflowers."
51,The boss will eat me alive if the report arrives late.,I'm definitely gonna get fired if I don't submit the report on time.,entailment,train,The boss will eat me alive if the report arrives late.
52,The girl was as laidback as a black tie wedding,The girl was very laidback.,contradiction,train,The girl was as laidback as a black tie wedding
53,"Silence was crushing, I knew the moment had arrived.",I knew the moment had arrived when the silence became too much to bear.,entailment,dev,"Silence was crushing, I knew the moment had arrived."
54,It was all so very like a miniature skyscraper .,It was all so very streamlined .,entailment,train,It was all so very like a miniature skyscraper .
55,The lone possibility swam in front of her like a mirage in the desert.,The only option in front of her was neither tempting nor traitorous.,contradiction,train,The lone possibility swam in front of her like a mirage in the desert.
56,Am I talking to a brick wall?,Are you not listening to me?,entailment,train,Am I talking to a brick wall?
57,The house was a tomb.,The house was a blooming oasis.,contradiction,dev,The house was a tomb.
